Company Name	Exchange:Ticker	Market Capitalization	Total Enterprise Value	Total Revenue	EBITDA	P_LTM Diluted EPS Before Extra	Diluted EPS before Extra 1 Yr Growth	Diluted EPS before Extra 5 Yr CAGR	Diluted EPS before Extra 10 Yr CAGR	Day Close Price	Shares Outstanding	Dividend Yield	Current Ratio	Total Equity	Total Assets	Total Liabilities	Diluted EPS Incl Extra Items	Diluted EPS Excl Extra Items	Diluted EPS Incl Extra Items	Diluted EPS Excl Extra Items	Return on Equity	Return on Assets	Gross Margin	Earnings from Cont Ops Margin	Total Debt_Equity	Est Annual EPS Growth  1 Yr	Est Annual EPS Growth  2 Yr	LT EPS Growth Rate
Era Group Inc. (NYSE:ERA)	NYSE:ERA	202.5	408.4	239.2	38.5	NM				9.52	21.3		3.56	472.6	946.4	478	0.392	0.392	0.479	0.479	3.56	0.618	31.7	7	48.7			
Erie Indemnity Company (NasdaqGS:ERIE)	NasdaqGS:ERIE	"6,281.10"	"6,118.00"	"1,621.20"	306.1	29.7	17	6.51	2.14	120.12	52.3	2.61	1.55	816.9	"1,490.00"	660.2	4.01	4.01	4.05	4.05	26.3	12.9	30.6	13.1	2.98	1.75	4.39	10
Erin Energy Corporation (AMEX:ERN)	AMEX:ERN	312.2	540.5	104.2	19.6	NM	NM			1.45	215.3		0.136	224.6	287.4	538.2	0.671	0.671	0.642	0.642	NM	25.8	6.97	131.8	NM			
Eros International Plc (NYSE:EROS)	NYSE:EROS	711.7	959.7	265.5	28.9	133.2	74.8	41.4		11.8	60.3		1.3	809.1	"1,289.70"	418.6	0.052	0.052	0.089	0.089	1.73	1.38	34	5.46	35.4	188.5	225.2	20.7
"Escalade, Incorporated (NasdaqGM:ESCA)"	NasdaqGM:ESCA	185.8	207.6	163.9	18.6	16.6	13	16.7	2.65	12.95	14.3	3.55	4.77	101.7	145.3	43.1	0.8	0.8	0.78	0.78	11.2	5.86	25.3	6.82	23.8	16.4	14.1	15
ESCO Technologies Inc. (NYSE:ESE)	NYSE:ESE	"1,558.90"	"1,675.40"	607.2	105.5	31.1	22.7	4.47	5.66	60.35	25.8	0.53	2.12	615.1	"1,085.10"	451.5	1.77	1.77	1.94	1.94	8.18	4.87	37.3	8.29	26.8	9.52	11.9	
"Esperion Therapeutics, Inc. (NasdaqGM:ESPR)"	NasdaqGM:ESPR	"1,101.30"	921.7		102	NM	NM			48.75	22.6		8.7	228.6	214.6	22.2	3.33	3.33	4.48	4.48	42.9	25.5			1.21			
Espey Mfg. & Electronics Corp. (AMEX:ESP)	AMEX:ESP	54.1	35.5	23.8	2.6	32.1	46.1	19.8	4.93	22.82	2.37	4.38	16.3	32.4	33.9	2.14	1.38	1.38	0.711	0.711	5.21	3.98	21.9	6.95				
"Esquire Financial Holdings, Inc. (NasdaqCM:ESQ)"	NasdaqCM:ESQ	100.5		20.1			74.5			14.65	6.86			52.2	438.1	384.8	0.55	0.55	0.58	0.58	5.83			14.9				
"ESSA Bancorp, Inc. (NasdaqGS:ESSA)"	NasdaqGS:ESSA	150.1		52		21.8	19.1	10.4		14.85	10.1	2.42		176.3	"1,758.70"	"1,580.00"	0.73	0.73	0.68	0.68	4.08	0.409		13.9				
ESSA Pharma Inc. (TSX:EPI)	TSX:EPI	9.88	4.81		14.2	NM	NM			0.34	29.1		3.61	0.537	13.7	19.6	0.488	0.488	0.49	0.49	"2,894.10"	57			NM			
Essendant Inc. (NasdaqGS:ESND)	NasdaqGS:ESND	516.4	"1,065.20"	"5,286.10"	159.1	NM	NM			13.77	37.5	4.07	2.31	781.1	"1,920.20"	"1,329.60"	1.73	1.73	3.87	3.87	21.3	3.4	14.1	2.67	96.8	11.7	0.162	8.5
Essent Group Ltd. (NYSE:ESNT)	NYSE:ESNT	"3,622.20"	"3,727.50"	483.4	336.2	14.9	40.3			38.79	93.4		1.28	"1,343.80"	"1,987.70"	574.9	2.41	2.41	2.61	2.61	18.6	11.7	86.7	49.9	8.85	21.2	18.1	13.9
Esterline Technologies Corporation (NYSE:ESL)	NYSE:ESL	"2,940.20"	"3,475.80"	"2,027.80"	315.3	20	103.9			98.75	29.8		3.07	"1,611.10"	"2,946.50"	"1,295.60"	3.42	3.93	4.47	4.93	9.19	4.46	34.4	7.3	47.1	1.51	5.57	11.6
Ethan Allen Interiors Inc. (NYSE:ETH)	NYSE:ETH	847.6	814.2	774.2	84.9	20.6	19.1	2.83	3.72	30.6	27.7	2.48	2.06	392.2	579.9	178.8	2	2	1.48	1.48	10.6	7.02	55.2	5.33	7.5	20.2	2.3	11.1
"Etsy, Inc. (NasdaqGS:ETSY)"	NasdaqGS:ETSY	"1,754.70"	"1,490.10"	380	28.2	NM	NM			15.06	116.5		4.38	344.8	530.7	235.7	0.263	0.263	0.275	0.275	10.1	1.14	65.8	8.29	3.85	875.5	312.6	10
Eurasian Minerals Inc. (TSXV:EMX)	TSXV:EMX	70.9	63.9	1.71	4.1	NM	NM			0.892	79.5		11.6	31.4	39.1	4.23	0.027	0.027	0.016	0.016	3.6	9.89	100	67.5				
Euro Tech Holdings Company Limited (NasdaqCM:CLWT)	NasdaqCM:CLWT	6.91	5.06	22.5	0.596	30.5	NM	15.1	3.97	3.35	2.06		1.48	16.6	23.1	6.49	0.11	0.11	0.11	0.11	0.955	1.83	22	0.703	4.33			
Euronav NV (ENXTBR:EURN)	ENXTBR:EURN	"1,257.20"	"2,231.80"	633.5	351.7	9.4	67.1		12.3	7.95	158.2	9.69	1.64	"1,888.00"	"3,014.50"	"1,091.80"	1.29	1.29	0.789	0.789	6.34	2.46	61.5	19.7	52.9		31.2	13
"Euronet Worldwide, Inc. (NasdaqGS:EEFT)"	NasdaqGS:EEFT	"4,768.00"	"4,610.70"	"1,994.10"	332	28.4	44.1	38.1	10.9	90.94	52.4		1.44	900.6	"2,597.80"	"1,644.10"	3.23	3.23	3.21	3.21	19.5	6.45	39.8	8.68	63.4	12.5	13.7	14
Euroseas Ltd. (NasdaqCM:ESEA)	NasdaqCM:ESEA	14.8	97.9	30.2	0.568	NM	NM			1.32	11.2		1.01	87.9	150.2	64	5.63	5.63	5.1	5.1	41.4	3.08	24.3	144.4	69.3			
"EV Energy Partners, L.P. (NasdaqGS:EVEP)"	NasdaqGS:EVEP	29.4	613.9	195.2	31	NM	NM			0.595	49.4	0	1.37	758.4	"1,549.70"	841	4.85	4.85	5.28	5.28	31.6	10.1	48.7	135.6	86.4			
"Evans Bancorp, Inc. (AMEX:EVBN)"	AMEX:EVBN	200.2		45.7		19.4	21.9	6.17		42	4.77	1.9		96.7	"1,139.70"	"1,027.00"	1.9	1.9	2.17	2.17	9.48	0.911		21.2				
"EverGlory International Group, Inc. (NasdaqGM:EVK)"	NasdaqGM:EVK	37.7	9.04	386.1	19.1	4.66	25.1	2.14	1.32	2.55	14.8		1.59	84.3	184.1	100.6	0.457	0.457	0.548	0.548	9.17	3.49	31.4	1.94	38.5			
"Everbridge, Inc. (NasdaqGM:EVBG)"	NasdaqGM:EVBG	633.6	593.9	82.6	10.4	NM	NM			22.74	27.9		0.816	42.4	114	75.9	0.68	0.68	0.706	0.706	129.8		68.6	17.3				27.8
Evercore Partners Inc. (NYSE:EVR)	NYSE:EVR	"2,954.20"		"1,569.20"		17.5	314.1	106.2		72	41	1.89	2.51	783.3	"1,432.80"	648.3	2.43	2.43	4.11	4.11	33.1	17.3	93.7	15	27.3	14.4	9.85	10
"Everest Re Group, Ltd. (NYSE:RE)"	NYSE:RE	"10,832.00"	"10,997.00"	"6,037.10"		9.84	41.8	21.8	6.05	263.75	41.1	1.9	2.05	"8,075.40"	"22,193.00"	"13,845.10"	23.7	23.7	26.8	26.8	13.8	3.77	21.9	18.5	7.59	11.4	6.89	
Everi Holdings Inc. (NYSE:EVRI)	NYSE:EVRI	497.1	"1,479.90"	891.2	192.4	NM	NM			7.52	66.1		1.02	107.8	"1,320.50"	"1,430.10"	3.78	3.78	3.63	3.63	"3,061.50"	2.05	35.9	26.9	NM	297.7	35.7	20
Eversource Energy (NYSE:ES)	NYSE:ES	"19,082.90"	"30,209.90"	"7,688.60"	"2,581.10"	20	10.3	7.08	7.3	60.22	316.9	3.16	0.753	"10,867.30"	"32,355.20"	"21,395.40"	2.96	2.96	3.01	3.01	8.96	3.67	48.8	12.6	100.5	6.32	5.9	5.82
"Everspin Technologies, Inc. (NasdaqGM:MRAM)"	NasdaqGM:MRAM	298	280.9	28.8	16.5	NM	NM			23.82	12.5		2.74	26.9	37.5	16	3.53	3.53	2.54	2.54	297.4	41.2	53	63.5	34.6			15
"EVERTEC, Inc. (NYSE:EVTC)"	NYSE:EVTC	"1,270.00"	"1,865.50"	395.3	155.5	16.5	5.92	35.9		17.5	72.6	2.29	1.41	108.2	882.6	757.2	1.01	1.01	1.06	1.06	67.3	7.79	54.9	20	513.7	2.05	1.54	8.46
EVINE Live Inc. (NasdaqGS:EVLV)	NasdaqGS:EVLV	59.8	115.7	655.6	13.6	NM	NM			0.98	61		1.85	81.7	261.3	187.3	0.15	0.15	0.115	0.115	9.57	0.674	36.1	1.07	110.6			25
Evogene Ltd. (TASE:EVGN)	TASE:EVGN	137	51.6	5.25	19.5	NM	NM			5.32	25.7		15.2	87.3	91.9	8.59	0.77	0.77	0.831	0.831	22.8	13.5	9.04					
"Evoke Pharma, Inc. (NasdaqCM:EVOK)"	NasdaqCM:EVOK	39.9	25.2			NM	NM			2.59	15.4		13.1	3.79	14.8	6.9	1.15	1.15	1.15	1.15	289.4	54						
"Evolent Health, Inc. (NYSE:EVH)"	NYSE:EVH	"1,541.30"	"1,670.20"	311	51	NM				26.7	57.7		2.08	912.1	"1,154.40"	257.7	3.55	3.55	1.16	1.16	9.1	4.32	38.8	24.5	13.5			26.7
Evolution Petroleum Corporation (AMEX:EPM)	AMEX:EPM	259.7	239.5	32.9	18.8	10.1	424.6	43	2.19	7.95	32.7	3.52	8.51	76.3	87.5	18.5	0.73	0.73	0.787	0.787	46	10.6	71.2	83.4		565	215.2	
"Evolving Systems, Inc. (NasdaqCM:EVOL)"	NasdaqCM:EVOL	61.1	59.1	24.2	7.73	14.8	35.1	214.2		4.9	12.5	0	1.9	29.3	44.2	13.5	0.29	0.29	0.33	0.33	12.9	9.23	77.7	16.5	17.8			
Exa Corporation (NasdaqGM:EXA)	NasdaqGM:EXA	204.9	180.4	72.4	3.22	NM	NM			13.74	14.9		1.1	19.2	59.7	42.3	0.08	0.08	0.191	0.191	15.8	1.02	72.6	3.79	12		85.6	
Exact Sciences Corporation (NasdaqCM:EXAS)	NasdaqCM:EXAS	"4,561.30"	"4,292.90"	132.9	144.3	NM	NM			38.59	118.2		10.2	335.3	350.3	40.7	1.63	1.63	1.46	1.46	51.7	29	60	116.4	2.06			22.5
"Exactech, Inc. (NasdaqGS:EXAC)"	NasdaqGS:EXAC	420.1	424.9	261.8	42.9	NM	97.7	48.9	28.5	29.35	14.3		3.97	234.2	297.1	56.8	0.01	0.01	0.024	0.024	0.145	4.97	69.2	0.131	6.66	9.75	11.5	12.3
"EXCO Resources, Inc. (NYSE:XCO)"	NYSE:XCO	44.9	"1,205.70"	291.4	31.6	NM	NM			2.09	21.5	0	0.51	871.9	670.7	"1,536.20"	12.2	12.2	4.66	4.66	NM	2.38	38	29.8	NM			
"Exela Technologies, Inc. (NasdaqCM:XELA)"	NasdaqCM:XELA	239.4		"3,324.90"						8.3	28.8																	
"Exelixis, Inc. (NasdaqGS:EXEL)"	NasdaqGS:EXEL	"7,821.70"	"7,510.80"	256.9	43.6	NM	NM	48		26.74	292.5		2.31	89.3	587	467.2	0.28	0.28	0.021	0.021	NM	4.93	96.7	2.22	94.7			46
Exelon Corporation (NYSE:EXC)	NYSE:EXC	"33,395.20"	"71,925.20"	"32,544.00"	"9,158.00"	17.2	8.93	6.82	2.73	36.06	926.1	3.63	0.845	"27,612.00"	"117,068.00"	"88,777.00"	1.22	1.22	2.1	2.1	7.43	2.1	29.7	6.34	132.1	0.452	3.63	4.67
EXFO Inc (TSX:EXF)	TSX:EXF	242.8	202.6	243.2	17.9	104.8	73.7	11.2	13.5	4.44	54.7		2.25	181.4	244.5	63.4	0.16	0.16	0.04	0.04	1.25	3.1	61.8	0.929		32.4	14.2	
"ExlService Holdings, Inc. (NasdaqGS:EXLS)"	NasdaqGS:EXLS	"1,857.90"	"1,685.40"	702	99.8	29.5	14.7	11.2	10.6	55.17	33.7		3.46	532.2	726.7	164	1.79	1.79	1.87	1.87	12.4	5.87	34.5	9.22	8.09	10.3	10.6	14
"Expedia, Inc. (NasdaqGS:EXPE)"	NasdaqGS:EXPE	"23,272.00"	"24,658.00"	"9,058.30"	"1,101.80"	78.3	55.2	4.26	2.61	154.17	150.9	0.726	0.664	"5,693.10"	"17,668.90"	"12,009.80"	1.82	1.82	1.97	1.97	5.18	2.18	82.2	3.15	56	17.6	22.7	21
"Expeditors International of Washington, Inc. (NasdaqGS:EXPD)"	NasdaqGS:EXPD	"10,318.00"	"9,164.80"	"6,224.70"	711.8	24.5	1.79	6.23	7.94	57.27	180.2	1.47	2.59	"1,847.20"	"2,902.70"	951	2.36	2.36	2.34	2.34	23	14.9	14.4	6.89		0.17	4.5	10.5
"Exponent, Inc. (NasdaqGS:EXPO)"	NasdaqGS:EXPO	"1,510.90"	"1,356.00"	300.7	66.4	32.5	1.05	9.73	14.5	58.4	25.9	1.44	4.59	273.3	398.2	113.5	1.75	1.75	1.8	1.8	17.5	9.69	34.9	16.2		5.29	5.29	13.5
Express Scripts Holding Company (NasdaqGS:ESRX)	NasdaqGS:ESRX	"36,881.80"	"49,252.50"	"100,150.60"	"7,136.20"	11.3	45.2	17.4	19.9	62.14	593.5		0.709	"16,243.80"	"51,056.00"	"35,126.40"	5.39	5.39	5.52	5.52	22.4	6.36	8.63	3.44	97.5	9.08	9.72	13.2
"Express, Inc. (NYSE:EXPR)"	NYSE:EXPR	486.4	363.2	"2,156.70"	161.7	12.4	63.6	21		6.33	76.8		1.63	635.7	"1,206.80"	573.5	0.73	0.73	0.51	0.51	6.52	3.93	39.6	1.86	10.7	46.3	16.8	
"Extended Stay America, Inc. (NYSE:STAY)"	NYSE:STAY	"3,708.00"	"6,238.30"	"1,274.00"	597.6	23.2	37.1			19.25	192.6	4.36	0.754	"1,377.20"	"4,126.70"	"2,794.70"	0.814	0.814	0.83	0.83	11.9	5.43	56.4	12.9	194.8	5.54	6.7	7.1
Exterran Corporation (NYSE:EXTN)	NYSE:EXTN	993.8	"1,292.90"	"1,003.30"	152.7	NM	NM			27.76	35.8		1.45	556.8	"1,397.30"	835.3	6.59	5.62	3.33	4.77	25.9	1.65	31.7	16.4	56.4			
"Extraction Oil & Gas, Inc. (NasdaqGS:XOG)"	NasdaqGS:XOG	"2,245.90"	"2,654.40"	299.9	99.3	NM	NM			13.07	171.8		2.02	"1,769.20"	"2,715.30"	924.6	1.34	1.34	1.05	1.05	32.1	10.4	75.9	134	30.1			
"Extreme Networks, Inc. (NasdaqGS:EXTR)"	NasdaqGS:EXTR	"1,044.40"	"1,022.00"	559	34.1	NM	NM			9.48	110.2		1.19	90.2	456.6	368.8	0.31	0.31	0.216	0.216	25.9	0.699	52.8	4.12	108.1	52.7	45.2	17
Exxon Mobil Corporation (NYSE:XOM)	NYSE:XOM	"344,404.90"	"389,734.90"	"210,976.00"	"26,660.00"	33.9	22.8	22	10	81.28	"4,237.30"	3.79	0.808	"173,830.00"	"344,209.00"	"160,438.00"	1.88	1.88	2.4	2.4	5.9	0.837	41.9	5.06	23.7	57.3	33.6	17.3
"Eyegate Pharmaceuticals, Inc. (NasdaqCM:EYEG)"	NasdaqCM:EYEG	23.8	18.4	0.854	13.8	NM	NM			1.35	17.6		0.618	0.329	12	13.1	1.51	1.51	1.46	1.46	500.7	71.1			NM			
"EZCORP, Inc. (NasdaqGS:EZPW)"	NasdaqGS:EZPW	418	563.6	737	63.3	128.3	NM	53.6	22.8	7.7	54.3		6.66	594.2	962	348.5	1.49	0.031	0.224	0.06	0.295	2.47	58.2	0.241	43.5	204.1	101.7	5
F.N.B. Corporation (NYSE:FNB)	NYSE:FNB	"4,571.90"		799.9		19.3	2.78	0.792		14.15	323.1	3.39		"2,571.60"	"30,190.70"	"25,834.90"	0.78	0.78	0.732	0.732	4.88	0.664		21		7.51	11.5	12
"F5 Networks, Inc. (NasdaqGS:FFIV)"	NasdaqGS:FFIV	"8,012.40"	"6,997.80"	"2,056.10"	626	21.1	15.8	12.2	20.3	123.84	64.7		1.58	"1,185.30"	"2,387.90"	"1,203.30"	5.38	5.38	5.86	5.86	32.8	15.6	83.3	18.9		12.3	10.6	11.8
Fabrinet (NYSE:FN)	NYSE:FN	"1,679.10"	"1,466.00"	"1,326.40"	121.8	18.9	57.6			44.98	37.3		2.47	554.4	"1,004.70"	355.6	1.68	1.68	2.38	2.38	15.2	7.12	12.1	6.74	11.7	59.3	32.6	
"Facebook, Inc. (NasdaqGS:FB)"	NasdaqGS:FB	"463,621.40"	"431,315.40"	"30,288.00"	"16,355.00"	40.7	129.7	53.4		159.97	"2,898.20"		12.6	"59,194.00"	"68,714.00"	"6,526.00"	3.49	3.49	3.93	3.93	21.1	14.4	86.4	38.1		14.2	19.1	29.3
FactSet Research Systems Inc. (NYSE:FDS)	NYSE:FDS	"6,409.10"	"6,790.40"	"1,181.80"	410.2	19.1	39.2	17	15.7	163.38	39.2	1.37	2.05	517.4	"1,358.00"	830.5	8.19	8.19	8.58	8.58	64	19.1	55.5	29	109	14	11.8	10.6
Fair Isaac Corporation (NYSE:FICO)	NYSE:FICO	"4,392.10"	"4,902.00"	922.6	209.9	35.3	36.1	9.42	9.34	141.84	31	0.056	1.17	446.8	"1,247.10"	820	3.39	3.39	4.02	4.02	30.5	8.9	69.3	14.1	146.5	3.17	11.1	16
Fairmount Santrol Holdings Inc. (NYSE:FMSA)	NYSE:FMSA	837.5	"1,484.90"	562.1	12.1	NM	NM			3.74	223.9		3.62	251.1	"1,235.30"	992.1	0.781	0.781	0.718	0.718	164.8	7.87	15.9	24.9	352.7			20.5
"FalconStor Software, Inc. (NasdaqCM:FALC)"	NasdaqCM:FALC	12.4	18.3	28.9	6.45	NM	NM			0.279	44.4		0.404	12.4	15.6	29	0.301	0.301	0.221	0.221	NM	21.8	73.2	27.1				
"Famous Dave's of America, Inc. (NasdaqGS:DAVE)"	NasdaqGS:DAVE	24.4	31.6	97.7	2.9	NM				3.5	6.96		1.31	20	52.5	33.8	0.35	0.423	0.648	0.624	20.8	0.625	21	4.44	64.8			20
Fang Holdings Limited (NYSE:SFUN)	NYSE:SFUN	"1,401.20"	"1,642.30"	821.6	20	NM	NM			3.17	442	0	1.11	487.8	"1,583.70"	"1,104.00"	0.362	0.362	0.148	0.148	11.2	1.62	34.5	8.27	119.2			20
Fanhua Inc. (NasdaqGS:FANH)	NasdaqGS:FANH	549.5	128.7	764	20.1	18	6.22		4.71	8.9	61.7	1.35	4.26	490.3	650.7	146.4	0.374	0.374	0.494	0.494	6.26	1.42	21.7	4.12		106.1	67.7	
Farmer Bros. Co. (NasdaqGS:FARM)	NasdaqGS:FARM	505.4	518.8	541.9	40.1	4.73	"2,908.60"		34.4	30.4	16.6		1.28	182.6	422.9	214.9	5.4	5.4	6.43	6.43	68.4	3.32	39.2	19.8	22	71.7	59.1	15
"Farmers & Merchants Bancorp, Inc. (NasdaqCM:FMAO)"	NasdaqCM:FMAO	286.5		44.4		23.8	14.8	6.76		62	4.62	1.61		125.6	"1,067.60"	939.8	2.53	2.53	2.61	2.61	9.6	1.16		27.1		2.77	3.69	
Farmers Capital Bank Corporation (NasdaqGS:FFKT)	NasdaqGS:FFKT	293.3		77.8		21.3	18.9	34.4		39.05	7.51	1.02		184.1	"1,682.50"	"1,494.70"	2.21	2.21	1.83	1.83	7.4	0.796		17.7		5.41	0.647	
Farmers National Banc Corp. (NasdaqCM:FMNB)	NasdaqCM:FMNB	384.3		88.9		18	84.3	8.41		14.2	27.1	1.41		213.2	"2,026.50"	"1,808.40"	0.756	0.756	0.79	0.79	10.2	1.11		24.2		15.4	14.6	
Farmland Partners Inc. (NYSE:FPI)	NYSE:FPI	290.1	905.5	33.5	20	NM	NM			8.94	32.4	5.7	0.987	335.5	971.3	464.1	0.089	0.089	0.017	0.017	1.49	1.38	88.5	17.7	86.1	5.56	47.2	
"FARO Technologies, Inc. (NasdaqGS:FARO)"	NasdaqGS:FARO	656	507.2	331.4	21.4	100.7	56.2	24.4	6.32	39.3	16.7		4.27	339.7	427.2	83	0.667	0.667	0.39	0.39	1.92	1.03	54	1.98		19.9	30.9	30
Fastenal Company (NasdaqGS:FAST)	NasdaqGS:FAST	"12,348.50"	"12,678.40"	"4,130.20"	952.5	23.6	3.83	6.27	9.88	42.88	288	2.99	5.47	"1,933.10"	"2,851.40"	859.9	1.73	1.73	1.82	1.82	27.2	18.8	49.6	12.7	22.3	10.8	10.1	16.3
"Fate Therapeutics, Inc. (NasdaqGM:FATE)"	NasdaqGM:FATE	127.9	54.3	4.11	33.2	NM	NM			3.09	41.4		4.94	73.2	85.3	21.5	1.05	1.05	1.01	1.01	74.5	29.5			13.6			
"Fauquier Bankshares, Inc. (NasdaqCM:FBSS)"	NasdaqCM:FBSS	71.8		25.8		18.7	NM	2.03		19.04	3.77	2.52		54.5	630	574.8	0.979	0.979	1.02	1.02	7.08	0.622		14.8				
FB Financial Corporation (NYSE:FBK)	NYSE:FBK	"1,006.90"		257.3		18.7	2.63			34.76	29	0		330.5	"3,166.50"	"2,824.30"	2.04	2.04	1.86	1.86	13.2	1.31		15.3		18.8	0.55	
"FBL Financial Group, Inc. (NYSE:FFG)"	NYSE:FFG	"1,620.90"	"1,704.20"	728.7	173.9	15.2	7.34	20.4	4.06	65.05	24.9	5.01	0.713	"1,188.30"	"9,662.90"	"8,480.20"	4.28	4.28	4.29	4.29	9.15	0.967	33.2	14.8	8.2	0	0.587	
"FCB Financial Holdings, Inc. (NYSE:FCB)"	NYSE:FCB	"2,017.80"		299.4		17.8	25.5			47.35	42.6			982.4	"9,533.20"	"8,478.00"	2.31	2.31	2.66	2.66	12	1.34		38.9		16.2	17.6	16.1
Federal Agricultural Mortgage Corporation (NYSE:AGM)	NYSE:AGM	707.9		172.3		9.88	36.1	32.9	14.8	66.97	10.6	2.15	0.661	643.6	"15,931.80"	"15,265.70"	5.97	5.97	6.78	6.78	14.2	0.534	100	49.7	"2,276.50"	0.699	11.4	9
Federal Signal Corporation (NYSE:FSS)	NYSE:FSS	"1,068.40"	"1,076.10"	712.9	76.9	30.3	40.5	14.5	3.52	17.87	59.8	1.57	3.01	394.1	652	254.3	0.712	0.64	0.611	0.59	8.99	5.58	25.2	5.08	16.2	13.5	22	10
Federated National Holding Company (NasdaqGM:FNHC)	NasdaqGM:FNHC	214.6	157.8	340.3	4.36	NM				15.51	13.8	2.06	0.89	237.9	788.2	547.1	0.014	0.014	0.482	0.482	2.54	0.456	9.9	1.88	2.04	318.1	162.6	
FedEx Corporation (NYSE:FDX)	NYSE:FDX	"58,571.20"	"69,533.20"	"60,319.00"	"8,008.00"	19.8	70	11.5	5.5	219.06	267.4	0.913	1.59	"16,073.00"	"48,552.00"	"32,479.00"	11.1	11.1	11.1	11.1	20.1	6.62	27.8	4.97	92.9	10.9	12.5	13.8
Ferrari N.V. (NYSE:RACE)	NYSE:RACE	"17,742.20"	"19,132.80"	"3,475.40"	904	37.4	47.9			93.9	188.9	0.775	2.05	348.2	"4,336.50"	"3,822.20"	2.23	2.23	2.51	2.51	155.1	10.6	50.5	13.7	388.8	16.8	11.6	14.1
"Ferrellgas Partners, L.P. (NYSE:FGP)"	NYSE:FGP	435.2	"2,472.80"	"1,906.40"	238	NM	NM			4.48	97.2	8.93	0.929	651.8	"1,679.30"	"2,382.80"	6.68	6.68	6.71	6.71	NM	3.78	40.6	35	NM			
Ferro Corporation (NYSE:FOE)	NYSE:FOE	"1,578.20"	"2,128.50"	"1,188.40"	167.5	34.9	55.1		2.63	18.87	83.6		2.65	255	"1,384.20"	"1,097.90"	0.249	0.51	0.13	0.541	15.9	5.7	30.8	3.95	221.8	11.6	13	12.2
Ferroglobe PLC (NasdaqGS:GSM)	NasdaqGS:GSM	"2,151.10"	"2,489.40"	"1,528.40"	32.8	NM	NM			12.51	171.9	2.56	2.26	892	"2,011.60"	"1,108.80"	1.97	1.95	1.86	1.85	30.7	1.87	34.4	21.8	57			
Fiat Chrysler Automobiles N.V. (BIT:FCA)	BIT:FCA	"18,302.30"	"26,251.20"	"119,939.10"	"10,932.40"	8.07	285	3.67	2.48	11.91	"1,537.30"		0.773	"20,429.60"	"109,469.60"	"88,016.50"	1.25	1.25	1.38	1.38	10.9	3.52	15	1.76	105.4	23.8	20.2	19
Fibria Celulose S.A. (BOVESPA:FIBR3)	BOVESPA:FIBR3	"5,726.00"	"9,439.50"	"2,941.30"	947.9	18.4	46.9		5.44	10.46	547.2	1.63	2.05	"4,246.00"	"11,658.30"	"7,181.90"	0.916	0.916	0.573	0.573	7.27	2.06	20.1	10.9	129.6	47.9	15	18.4
"Fibrocell Science, Inc. (NasdaqCM:FCSC)"	NasdaqCM:FCSC	57.9	37.3	0.339	19.1	NM	NM			3.94	14.7		7.14	7.86	22.7	12.2	1.18	1.18	1.55	1.55	158.7	56.8	17.7					
"FibroGen, Inc. (NasdaqGS:FGEN)"	NasdaqGS:FGEN	"2,343.10"	"2,231.70"	178.2	52.2	NM	NM			33.5	69.9		4.27	175.1	441.8	290.8	0.983	0.983	1.06	1.06	41	8.23	6.79	37.6	74.6			
Fidelity & Guaranty Life (NYSE:FGL)	NYSE:FGL	"1,837.60"	"1,532.60"	"1,292.00"	457	10.7	2.03			31.15	59	0.835	1.31	"1,934.00"	"27,897.00"	"25,989.00"	1.66	1.66	2.91	2.91	9.94	0.667	44	13.2	21.2	6.34	0.909	
"Fidelity National Financial, Inc. (NYSE:FNF)"	NYSE:FNF	"12,416.70"	"15,489.70"	"9,736.00"	"1,598.00"	19.5	25.8	10.7	0.964	45.54	272.7	2.2	0.908	"7,242.00"	"14,178.00"	"6,944.00"	2.34	2.34	2.33	2.33	9.74	5.58	67.4	7.08	37.6	1.94	3.66	
"Fidelity National Information Services, Inc. (NYSE:FIS)"	NYSE:FIS	"29,613.40"	"38,525.40"	"9,315.00"	"2,383.00"	45.8	0.945	4.31	4.01	89.58	330.6	1.29	1.09	"9,845.00"	"25,086.00"	"15,096.00"	1.72	1.72	1.96	1.96	6.92	4.02	32.8	7.24	95.1	11.1	12.1	11.7
Fidelity Southern Corporation (NasdaqGS:LION)	NasdaqGS:LION	620.9		268.6		13.8	25.3	18.3		23.55	26.4	2.04		362.6	"4,531.10"	"4,159.80"	1.5	1.5	1.71	1.71	12.8	1.04		16.7		4.5	7	
FieldPoint Petroleum Corporation (AMEX:FPP)	AMEX:FPP	3.49	9.23	3.06	0.655	NM	NM			0.327	10.7		0.173	1.05	8.59	9.87	0.274	0.274	0.213	0.213	NM	12.1	16.2	66.2	NM			
"Fiesta Restaurant Group, Inc. (NasdaqGS:FRGI)"	NasdaqGS:FRGI	491.6	560	710.7	81.9	NM				18.25	26.9		0.674	264.2	426.6	176.9	0.62	0.62	0.31	0.31	3.27	6.51	24.5	1.16	30.5	63.3	43.5	13
Fifth Third Bancorp (NasdaqGS:FITB)	NasdaqGS:FITB	"19,567.00"		"5,721.00"		13.6	4.66	4.77		26.08	750.3	2.15		"16,232.00"	"140,200.00"	"123,743.00"	1.93	1.93	1.91	1.91	9.38	1.09		26.9		7.46	1.93	6.77
